ID,Min Max,Kalai Smorodinsky,alpha_0.0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
1,97.0,87.0,160.0,149.0,149.0,149.0,149.0,123.0,97.0,87.0,77.0,77.0,77.0
2,55.0,55.0,133.0,133.0,133.0,94.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0
3,64.0,64.0,126.0,126.0,126.0,126.0,95.0,64.0,64.0,64.0,60.0,56.0,56.0
4,85.0,70.0,120.0,120.0,120.0,95.0,95.0,85.0,60.0,60.0,50.0,50.0,50.0
5,123.0,115.0,223.0,215.0,185.0,175.0,138.0,108.0,108.0,98.0,74.0,74.0,74.0
6,192.0,192.0,342.0,324.0,287.0,287.0,266.0,179.0,137.0,111.0,111.0,111.0,111.0
7,113.0,196.0,229.0,229.0,171.0,105.0,55.0,55.0,55.0,55.0,55.0,54.0,52.0
8,161.0,145.0,287.0,279.0,279.0,245.0,211.0,195.0,145.0,123.0,117.0,111.0,111.0
9,188.0,164.0,350.0,350.0,321.0,271.0,250.0,221.0,171.0,147.0,144.0,140.0,134.0
10,302.0,286.0,511.0,493.0,493.0,464.0,394.0,324.0,245.0,195.0,177.0,177.0,177.0
