ID,Min Max,Kalai Smorondisky,alpha_0.0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
1,101.0,123.0,46.0,46.0,46.0,46.0,46.0,68.0,101.0,123.0,156.0,156.0,172.0
2,80.0,80.0,41.0,41.0,41.0,55.0,80.0,80.0,80.0,80.0,80.0,80.0,119.0
3,81.0,81.0,39.0,39.0,39.0,39.0,53.0,81.0,81.0,81.0,95.0,123.0,123.0
4,76.0,87.0,45.0,45.0,45.0,53.0,53.0,61.0,95.0,95.0,129.0,129.0,129.0
5,123.0,123.0,71.0,71.0,75.0,79.0,101.0,127.0,127.0,145.0,215.0,215.0,218.0
6,193.0,193.0,118.0,118.0,127.0,127.0,136.0,202.0,259.0,316.0,316.0,316.0,316.0
7,120.0,92.0,86.0,86.0,98.0,121.0,144.0,144.0,144.0,144.0,144.0,150.0,181.0
8,163.0,183.0,84.0,84.0,84.0,96.0,116.0,128.0,183.0,230.0,250.0,285.0,303.0
9,187.0,218.0,84.0,84.0,90.0,107.0,118.0,140.0,195.0,234.0,245.0,273.0,382.0
10,297.0,318.0,166.0,166.0,166.0,176.0,213.0,272.0,368.0,457.0,518.0,518.0,521.0
