ID,Min Max,Kalai Smorondisky,alpha_0.0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
1,101.0,1.2083333333333333,46.0,56.3,66.6,76.9,87.2,95.5,98.6,97.80000000000001,92.8,84.89999999999999,77.0
2,80.0,1.0256410256410255,41.0,50.2,59.400000000000006,66.69999999999999,70.0,67.5,65.0,62.5,60.0,57.5,53.0
3,81.0,0.9642857142857142,39.0,47.7,56.400000000000006,65.1,69.80000000000001,72.5,70.8,69.10000000000001,67.0,62.7,56.0
4,85.0,1.0357142857142856,45.0,52.5,60.0,65.6,69.8,73.0,74.0,70.5,65.8,57.9,50.0
5,123.0,0.8541666666666587,71.0,85.4,97.0,107.8,115.79999999999998,117.5,115.60000000000001,112.1,102.2,88.1,74.0
6,193.0,0.97474747454997,118.0,138.6,159.0,175.0,188.00000000000003,190.5,185.8,172.5,152.0,131.49999999999997,111.0
7,120.0,1.1073446327683472,86.0,100.30000000000001,112.6,116.19999999999999,108.39999999999999,99.5,90.60000000000001,81.7,72.8,63.599999999999994,52.0
8,163.0,0.9104477611940147,84.0,103.5,123.0,140.7,154.0,161.5,160.20000000000002,155.10000000000002,143.59999999999997,128.4,111.0
9,188.0,0.7592592592592459,84.0,110.6,136.2,156.2,170.79999999999998,180.5,180.6,173.10000000000002,164.2,153.3,134.0
10,302.0,0.9050632911391835,166.0,198.70000000000002,231.40000000000003,262.4,285.4,298.0,294.2,273.6,245.19999999999996,211.09999999999997,177.0
