ID,Min Max,Kalai Smorodinsky,alpha_0.0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
1,94.0,93.0,131.0,131.0,131.0,131.0,131.0,94.0,57.0,57.0,57.0,57.0,57.0
2,158.0,157.0,221.0,221.0,221.0,221.0,221.0,158.0,95.0,95.0,95.0,95.0,95.0
3,48.0,47.0,67.0,67.0,67.0,67.0,67.0,48.0,29.0,29.0,29.0,29.0,29.0
4,130.0,129.0,184.0,183.0,183.0,183.0,183.0,156.0,79.0,79.0,79.0,79.0,79.0
5,212.0,193.0,300.0,294.0,294.0,294.0,294.0,193.0,117.0,117.0,117.0,117.0,117.0
6,342.0,342.0,478.0,474.0,474.0,474.0,474.0,246.0,186.0,186.0,186.0,186.0,186.0
7,94.0,94.0,134.0,133.0,133.0,133.0,133.0,95.0,52.0,52.0,52.0,52.0,52.0
8,258.0,258.0,389.0,388.0,388.0,388.0,388.0,334.0,157.0,157.0,157.0,157.0,157.0
9,342.0,340.0,507.0,503.0,503.0,503.0,503.0,361.0,191.0,191.0,191.0,191.0,191.0
10,160.0,159.0,242.0,238.0,238.0,238.0,238.0,170.0,90.0,90.0,90.0,90.0,90.0
