ID,Min Max,Kalai Smorondisky,alpha_0.0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
1,92.0,94.0,55.0,55.0,55.0,55.0,55.0,91.0,133.0,133.0,133.0,133.0,134.0
2,157.0,158.0,94.0,94.0,94.0,94.0,94.0,156.0,222.0,222.0,222.0,222.0,223.0
3,47.0,48.0,28.0,28.0,28.0,28.0,28.0,46.0,68.0,68.0,68.0,68.0,69.0
4,130.0,130.0,77.0,77.0,77.0,77.0,77.0,103.0,183.0,183.0,183.0,183.0,183.0
5,194.0,212.0,116.0,116.0,116.0,116.0,116.0,212.0,296.0,296.0,296.0,296.0,296.0
6,313.0,313.0,189.0,189.0,189.0,189.0,189.0,407.0,471.0,471.0,471.0,471.0,471.0
7,87.0,87.0,52.0,52.0,52.0,52.0,52.0,86.0,133.0,133.0,133.0,133.0,136.0
8,281.0,281.0,151.0,151.0,151.0,151.0,151.0,203.0,388.0,388.0,388.0,388.0,390.0
9,342.0,344.0,190.0,190.0,190.0,190.0,190.0,322.0,506.0,506.0,506.0,506.0,509.0
10,159.99999998389777,162.0,89.0,89.0,89.0,89.0,89.0,150.0,241.0,241.0,241.0,241.0,245.0
