ID,Min Max,Kalai Smorodinsky,alpha_0.0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
1,94.0,1.3,55.0,62.6,70.2,77.8,85.4,92.5,87.4,79.8,72.2,64.6,57.0
2,158.0,1.2,94.0,106.7,119.4,132.1,144.8,157.0,145.8,133.1,120.4,107.7,95.0
3,48.0,1.2,28.0,31.9,35.8,39.7,43.6,47.0,44.6,40.7,36.8,32.9,29.0
4,130.0,1.2,77.0,87.6,98.2,108.8,119.4,129.5,120.6,110.2,99.8,89.4,79.0
5,212.0,1.2,116.0,133.8,151.6,169.4,187.2,202.5,188.6,170.7,152.8,134.9,117.0
6,342.0,1.2,189.0,217.5,246.0,274.5,303.0,326.5,300.0,271.5,243.0,214.5,186.0
7,94.0,1.2,52.0,60.1,68.2,76.3,84.4,90.5,84.4,76.3,68.2,60.1,52.0
8,281.0,1.2,151.0,174.7,198.4,222.1,245.8,268.5,249.4,226.3,203.2,180.1,157.0
9,342.0,1.1,190.0,221.3,252.6,283.9,315.2,341.5,317.0,285.5,254.0,222.5,191.0
10,160.0,1.1,89.0,103.9,118.8,133.7,148.6,160.0,150.4,135.3,120.2,105.1,90.0
