ID,Min Max,Kalai Smorondisky,alpha_0.0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
1,179.0,179.0,397.0,359.0,359.0,245.0,188.0,156.0,131.0,131.0,129.0,124.0,119.0
2,305.0,305.0,537.0,525.0,487.0,487.0,401.0,325.0,237.0,181.0,181.0,181.0,181.0
3,320.0,454.0,565.0,565.0,565.0,421.0,231.0,161.0,161.0,137.0,137.0,137.0,137.0
4,182.0,145.0,290.0,262.0,254.0,254.0,254.0,254.0,217.0,179.0,145.0,145.0,142.0
5,375.99999996229997,386.0,808.0,688.0,547.0,511.0,439.0,357.0,235.0,218.0,205.0,193.0,193.0
6,317.0,299.0,581.0,522.0,494.0,444.0,371.0,343.0,291.0,218.0,187.0,177.0,177.0
7,352.0,340.0,626.0,616.0,503.0,474.0,453.0,379.0,319.0,228.0,195.0,186.0,186.0
8,478.0,476.0,853.0,843.0,772.0,750.0,663.0,428.0,346.0,294.0,294.0,278.0,278.0
9,425.9999998717527,366.0,850.0,691.0,683.0,633.0,633.0,510.0,428.0,385.0,314.0,296.0,292.0
10,575.0,581.0,1115.0,1045.0,970.0,822.0,709.0,544.0,397.0,349.0,320.0,320.0,315.0
