ID,Min Max,Kalai Smorondisky,alpha_0.0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
1,179.0,0.7458333333332922,92.0,118.70000000000002,145.4,163.09999999999994,168.8,170.5,164.2,155.9,147.6,137.0,119.0
2,308.99999995348105,0.908823529411726,176.0,210.9,245.4,275.6,300.2,306.5,304.6,281.5,247.99999999999997,214.49999999999997,181.0
3,320.0,1.0607476635513875,222.0,256.3,290.6,312.5,313.2,295.5,268.6,236.9,203.6,170.3,137.0
4,184.0,0.9797297297297172,66.0,87.4,106.00000000000001,124.49999999999999,143.0,161.5,175.8,181.4,173.8,159.4,142.0
5,375.99999996229997,0.7933333333331928,229.0,274.90000000000003,314.20000000000005,340.2,362.20000000000005,370.5,354.6,322.7,284.0,241.6,193.0
6,317.0,0.7681818181818182,186.0,223.2,254.0,281.6,299.6,309.5,311.4,297.2,261.59999999999997,221.89999999999998,177.0
7,352.0,0.7913043478260869,216.0,256.0,292.6,317.20000000000005,337.2,346.5,345.80000000000007,322.8,283.59999999999997,235.0,186.0
8,478.0,0.8424778761061795,256.0,314.70000000000005,370.40000000000003,418.90000000000003,455.99999999999994,471.5,456.4,421.5,379.0,332.8,278.0
9,425.99999987175215,0.7820512818730576,185.0,239.20000000000002,288.6,335.49999999999994,378.0,413.0,421.59999999999997,417.70000000000005,390.19999999999993,344.4000000000001,292.0
10,575.0,0.7565104166665857,325.0,400.6,466.8,522.4,558.4000000000001,572.0,551.4,507.4000000000001,446.79999999999995,383.4,315.0
