ID,Min Max,Kalai Smorondisky,alpha_0.0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9, alpha_1.0
1,24.0,1.2,14.0,16.0,18.0,20.0,22.0,23.0,22.0,20.000000000000004,17.999999999999996,16.0,14.0
2,55.0,1.1,30.0,35.0,40.0,42.5,45.0,47.5,45.0,42.5,40.0,35.0,30.0
3,56.0,1.037037037037026,32.0,37.4,42.8,48.199999999999996,52.8,55.0,52.8,48.2,42.8,37.4,32.0
4,80.0,0.8333333333333333,46.0,55.400000000000006,62.400000000000006,68.6,72.80000000000001,76.0,72.80000000000001,68.60000000000001,62.39999999999999,55.4,46.0
5,197.0,1.0706521732918393,110.0,128.4,146.8,165.2,183.60000000000002,197.0,183.60000000000002,165.20000000000002,146.79999999999998,128.39999999999998,110.0
6,110.0,0.7236842105262584,64.0,79.0,90.4,98.79999999999998,105.19999999999999,109.0,105.2,98.79999999999998,90.4,78.99999999999997,64.0
7,183.0,0.9631578947368421,101.0,120.00000000000001,139.00000000000003,157.99999999999997,174.80000000000004,183.0,174.79999999999998,158.0,139.0,120.0,101.0
8,246.0,0.7028571428570757,140.0,174.60000000000002,202.60000000000002,223.69999999999996,237.99999999999997,245.0,237.99999999999997,223.7,202.60000000000002,174.6,140.0
9,151.0,0.8388888888888889,83.0,101.0,119.0,134.6,145.6,151.0,145.59999999999997,134.6,119.0,101.0,83.0
10,405.0,0.7417582417582418,225.0,278.1,321.6,357.9,389.4,404.5,389.4,357.9,321.6,278.09999999999997,225.0
