ID,Min Max,Kalai Smorondisky,alpha_0.0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
1,24.0,24.0,14.0,14.0,14.0,14.0,18.0,28.0,28.0,34.0,34.0,34.0,36.0
2,55.0,55.0,30.0,30.0,30.0,35.0,35.0,60.0,60.0,60.0,60.0,80.0,95.0
3,54.0,54.0,32.0,32.0,32.0,32.0,40.0,64.0,72.0,86.0,86.0,86.0,88.0
4,80.0,80.0,46.0,48.0,50.0,50.0,60.0,80.0,92.0,112.0,112.0,122.0,142.0
5,197.0,197.0,110.0,110.0,110.0,110.0,110.0,184.0,294.0,294.0,294.0,294.0,299.0
6,110.0,108.0,64.0,66.0,72.0,76.0,90.0,122.0,128.0,152.0,164.0,196.0,244.0
7,183.0,183.0,101.0,101.0,101.0,101.0,122.0,194.0,254.0,291.0,291.0,291.0,316.0
8,245.99999997527868,246.0,140.0,143.0,154.0,176.0,210.0,210.0,280.0,335.0,397.0,459.0,521.0
9,151.0,151.0,83.0,83.0,83.0,95.0,108.0,156.0,202.0,234.0,263.0,263.0,279.0
10,404.0,404.0,225.0,231.0,243.0,255.0,303.0,420.0,519.0,598.0,636.0,720.0,787.0
