ID,Min Max,Kalai Smorondisky,alpha_0.0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
1,24.0,1.2,14.0,16.0,18.0,20.0,22.0,23.0,22.0,20.0,18.0,16.0,14.0
2,55.0,1.1,30.0,35.0,40.0,42.5,45.0,47.5,45.0,42.5,40.0,35.0,30.0
3,56.0,1.0,32.0,37.4,42.8,48.2,52.8,55.0,52.8,48.2,42.8,37.4,32.0
4,80.0,0.8,46.0,55.4,62.4,68.6,72.8,76.0,72.8,68.6,62.4,55.4,46.0
5,197.0,1.1,110.0,128.4,146.8,165.2,183.6,197.0,183.6,165.2,146.8,128.4,110.0
6,110.0,0.7,64.0,79.0,90.4,98.8,105.2,109.0,105.2,98.8,90.4,79.0,64.0
7,183.0,1.0,101.0,120.0,139.0,158.0,174.8,183.0,174.8,158.0,139.0,120.0,101.0
8,246.0,0.7,140.0,174.6,202.6,223.7,238.0,245.0,238.0,223.7,202.6,174.6,140.0
9,151.0,0.8,83.0,101.0,119.0,134.6,145.6,151.0,145.6,134.6,119.0,101.0,83.0
10,405.0,0.7,225.0,278.1,321.6,357.9,389.4,404.5,389.4,357.9,321.6,278.1,225.0
